date,utm_e,utm_n,stratum_full,year,period,pool,gear,secchi,temp,depth,cond,current,do,substrt,vegd,BLGL,FWDM,CARP,LMBS,ERSN,BKCP,SHRH,GZSD,WTBS,SFSN
1990-08-29,532456,4939252,Other,1990,3,04,T,NA,0,2.7,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-08-29,532456,4939252,Other,1990,3,04,T,NA,0,2.9,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-08-29,533804,4939013,Main Chann. Bord.,1990,3,04,T,NA,0,2,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-08-29,533804,4939013,Main Chann. Bord.,1990,3,04,T,NA,0,1.75,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-08-29,534204,4938988,Other,1990,3,04,T,NA,0,3.1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-08-29,534204,4938988,Other,1990,3,04,T,NA,0,2.3,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-08-29,534204,4938988,Other,1990,3,04,T,NA,0,2.1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-08-29,534204,4938988,Other,1990,3,04,T,NA,24.6,2,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-08-29,534204,4938988,Other,1990,3,04,T,NA,24.6,2.6,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-08-29,534204,4938988,Other,1990,3,04,T,NA,24.6,3.55,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-08-29,534644,4938303,Main Chann. Bord.,1990,3,04,T,NA,24.6,1.95,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-08-29,534644,4938303,Main Chann. Bord.,1990,3,04,T,NA,24.6,2.15,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-08-29,637097,4856622,Other,1990,3,08,T,37,25,3.8,NA,0.18,NA,NA,NA,0,1,0,0,0,0,0,0,0,0
1990-08-29,637326,4856025,Other,1990,3,08,T,37,25,3,NA,0.18,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-08-29,641142,4847725,Main Chann. Bord.,1990,3,08,H,50,25.5,3.8,NA,0.33,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-08-29,641188,4848044,Main Chann. Bord.,1990,3,08,H,50,25.5,3.8,NA,0.33,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-08-30,541057,4935163,Other,1990,3,04,T,NA,0,4.14,NA,0.21,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-08-30,541057,4935163,Other,1990,3,04,T,NA,25.4,5.52,NA,0.18,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
