occ,utm_e,utm_n,pool,period,secchi,temp,depth,cond,current,do
1,732758,4662401,13,2,42,25.5,0.9,382,0,14.3
0,733208,4663951,13,1,NA,NA,NA,NA,NA,NA
1,732958,4662151,13,1,39,23.3,0.9,485,0,8.2
1,732558,4662551,13,3,72,7.6,0.84,392,0,12.3
1,733258,4662001,13,3,64,11.1,1.2,296,0,10.3
1,733358,4662301,13,1,70,24.4,0.7,412,0,15
0,733158,4664051,13,2,NA,NA,NA,NA,NA,NA
1,732758,4662401,13,2,46,27,0.7,463,0,6.2
0,733258,4663351,13,3,NA,NA,NA,NA,NA,NA
1,733208,4662001,13,3,41,19.5,0.8,445,0,7.5
0,732708,4663451,13,3,NA,NA,NA,NA,NA,NA
1,733158,4662051,13,3,92,8.3,1.6,437,0,11.6
1,732508,4663851,13,2,20,16.7,0.5,334,0,6
1,732958,4662151,13,2,50,25.7,1.2,399,0,5.5
0,732708,4663101,13,3,NA,NA,NA,NA,NA,NA
1,732858,4662801,13,3,40,17.6,0.5,395,0,8.8
1,732808,4662351,13,3,40,18.6,0.5,430,0,9.8
1,732758,4662351,13,2,28,21.4,0.8,406,0,7.7
0,733008,4663251,13,2,NA,NA,NA,NA,NA,NA
1,732458,4664051,13,2,20,16.7,0.5,334,0,6
1,733108,4662601,13,2,62,23.6,0.7,460,0,5.6
0,732708,4662951,13,2,NA,NA,NA,NA,NA,NA
1,733058,4662051,13,2,90,24.2,1.1,462,0,6.8
0,732408,4662801,13,3,NA,NA,NA,NA,NA,NA
1,733008,4662101,13,1,52,24,1,370,0,7.1
0,733208,4663401,13,1,NA,NA,NA,NA,NA,NA
0,732808,4663651,13,1,NA,NA,NA,NA,NA,NA
1,732508,4662601,13,3,70,11.4,0.7,350,0,8.9
1,733858,4664951,13,3,40,18.5,0.5,408,0,8.4
0,733158,4666351,13,1,NA,NA,NA,NA,NA,NA
0,733508,4666501,13,1,NA,NA,NA,NA,NA,NA
1,729108,4669551,13,3,34,16,0.8,452,0,8.6
1,729108,4669551,13,3,70,6.6,0.7,420,0,10.4
1,729008,4669651,13,3,44,12.1,0.6,415,0,9.8
0,728908,4669651,13,3,NA,NA,NA,NA,NA,NA
0,728358,4670351,13,3,NA,NA,NA,NA,NA,NA
0,729258,4670401,13,1,70,26.4,1,416,0,7.5
0,729558,4670001,13,2,NA,NA,NA,NA,NA,NA
0,728158,4670651,13,1,NA,NA,NA,NA,NA,NA
0,729458,4670051,13,1,NA,NA,NA,NA,NA,NA
1,730008,4669901,13,3,58,21.6,0.98,394,0,6.2
1,729058,4670351,13,2,61,25.1,0.7,494,0,8.5
1,730058,4669501,13,2,44,26,0.8,473,0,11.5
0,730058,4669601,13,1,NA,NA,NA,NA,NA,NA
1,729308,4670101,13,2,58,26,0.9,467,0,7.4
1,729908,4669801,13,1,52,28.5,1,379,0,12.8
0,728358,4670801,13,1,NA,NA,NA,NA,NA,NA
0,729758,4670001,13,3,NA,NA,NA,NA,NA,NA
0,729208,4669951,13,1,NA,NA,NA,NA,NA,NA
0,728458,4670701,13,3,NA,NA,NA,NA,NA,NA
0,728408,4670301,13,3,NA,NA,NA,NA,NA,NA
0,728458,4670701,13,2,NA,NA,NA,NA,NA,NA
1,728458,4670651,13,3,38,12.5,1,421,0,9.9
1,729508,4670201,13,1,50,28.5,1,370,0,13.3
0,728658,4670101,13,3,NA,NA,NA,NA,NA,NA
0,728458,4670751,13,1,NA,NA,NA,NA,NA,NA
0,728208,4671051,13,1,NA,NA,NA,NA,NA,NA
1,729158,4670451,13,1,70,26.8,0.7,405,0,5.4
1,729808,4669851,13,1,57,28.9,0.7,370,0,9.1
0,729308,4670001,13,1,81,28.6,0.9,454,0,12
0,728508,4670701,13,1,NA,NA,NA,NA,NA,NA
0,729108,4670001,13,3,NA,NA,NA,NA,NA,NA
1,729158,4670451,13,1,48,24.6,0.8,483,0,9
0,729358,4670651,13,1,NA,NA,NA,NA,NA,NA
0,730208,4669601,13,1,NA,NA,NA,NA,NA,NA
0,728358,4670951,13,3,NA,NA,NA,NA,NA,NA
1,728408,4670751,13,1,80,28.4,0.8,435,0,10.1
0,729258,4670151,13,2,NA,NA,NA,NA,NA,NA
1,733808,4669201,13,3,21,8.4,0.9,352,0,10.3
1,733858,4669101,13,1,43,24.9,0.7,419,0,4.4
0,733158,4668651,13,1,NA,NA,NA,NA,NA,NA
1,734808,4667801,13,1,38,26.5,0.8,391,0.14,4.9
1,732808,4669051,13,1,40,30.8,0.6,365,0,6.6
1,734708,4668001,13,3,26,19,0.9,416,0,7.1
1,734708,4668101,13,1,40,27.2,1,458,0.05,7.2
